"A_cell","Zmin","Zinit","Zweir","Q_zmin","Zrelease","Bypass_elev","Q_a","Q_b","Width","Qomax","Qimax","Seepout_Rate","Seepout_Elev","Seepin_Rate","Seepin_Elev","ShutdownET","force_Q_out","DutyCycle","Cmax","C1000","Cstar","Ks_per_yr","Z1","Z2","Z3","Chalf","K2Coef1","SeasonalFactor","Ytrans","Ysigma","Czero","ks_2","zh_2","k_depth_penalty","C_rain","DryDepo","seepage_c","seepin_conc","C_init_ppb","Y_init_mgm2","Qin_Frac","Ntanks","enable_P_release","K_release","dmsta_version","offline_trigger","offline_start","offline_freq","offline_dur","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","IsaNode","Cell_Label","Vegetation","DownCell","QR1_name","QR2_name","QR0_name","Zcon_name","CaseName","PROJECT","source"
4.83599342429,2,38.1,0,38.1,0,0,0.5,4,1.56,0,0,0.0015,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,2128.03909540725,0.267675341362213,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-2A","EMG_3",4,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
4.989773968326,2,38.1,0,60.96,0,0,0.5,4,1.56,0,0,0.00541034900425324,0,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,437.447980201292,0,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-2B","PEW_3",0,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
5.84770752979,2,38.1,0,38.1,0,0,0.5,4,1.56,0,0,0.0015,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,1893.19054061656,0.260729893872172,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-3A","EMG_3",6,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
3.72310790824,2,38.1,0,60.96,0,0,0.5,4,1.56,0,0,0.00541034900425324,0,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,425.932177822701,0,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-3B","PEW_3",0,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
2.14826448121371,2,38.1,0,38.1,0,0,0.5,4,1.56,0,0,0.0015,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,2583.36500758263,0.205021875385948,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-4A1","EMG_3",8,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
1.50700638231655,2,38.1,0,38.1,0,0,0.5,4,1.56,0,0,0.0015,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,1620.95329143063,0,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-4A2","EMG_3",9,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
1.97497152208853,2,38.1,0,38.1,0,0,0.5,4,1.56,0,0,0.0015,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,927.126234348152,0,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-4A3","EMG_3",10,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
1.89565539670345,2,38.1,0,60.96,0,0,0.5,4,1.56,0,0,0.00719,0,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,352.415222252831,0,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-4B","PEW_3",0,NA,NA,NA,NA,"STA5","RS","RS_STA5_params"
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,1,2000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,10,20,20,0,0,0,0.643,0,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,TRUE,"To STA5","none",0,NA,NA,NA,NA,"STA56_DW","RS","RS_STA56_DW_params"
0,2,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,TRUE,FALSE,1,2000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,10,20,20,0,0,0,0.357,0,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,TRUE,"To STA6","none",0,NA,NA,NA,NA,"STA56_DW","RS","RS_STA56_DW_params"
2.63339529972194,2,38.1,0,38.1,0,0,0.5,4,2.34,0,0,0.0015,15,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,2645.6845529389,0.487789283441031,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-5A1","EMG_3",2,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
1.99876635970405,2,38.1,0,38.1,0,0,0.5,4,2.34,0,0,0.0015,15,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,1686.46370236867,0,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-5A2","EMG_3",3,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
3.16867920913401,2,38.1,0,38.1,0,0,0.5,4,2.34,0,0,0.0015,15,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,901.842025868602,0,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-5A3","EMG_3",4,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
2.84744890132443,2,38.1,0,60.96,0,0,0.5,4,2.34,0,0,0.00985437564,-59.436,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,290.668516850496,0,2,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"5-5B","PEW_3",0,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
2.18119344808974,2,38.1,0,38.1,0,0,1,4,2.34,0,0,0.003048,15,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,2595.76800829032,0.352225082858584,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"6-4","EMG_3",6,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
5.507771590342,2,38.1,0,60.96,0,0,1,4,2.34,0,0,0.0072041061222783,-30,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,440.646173729527,0,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"6-2","PEW_3",0,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
0.979339254124,2,10,38.3922,38.3922,0,0,1.3,1.5,0.61,0,0,0.00918153690367347,-30,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,584.400676888269,0.0448627153597835,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"6-3","PEW_3",0,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
2.513097838062,2,10,39.3063,39.3063,0,0,1.3,1.5,1.31,0,0,0.00821143257504,-30,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,604.218327039186,0.115122918340601,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"6-5","PEW_3",0,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
0,2,40,0,40,0,0,1,4,0,0,0,0.01,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,1000,0,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,TRUE,"S56X_A","EMG_3",10,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
0,2,40,0,40,0,0,1,4,0,0,0,0.01,0,0,0,TRUE,FALSE,0.95,2000,22,3,34.9357319292639,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,1000,0,3,FALSE,0,"2E",FALSE,NA,NA,NA,0,0,0,0,0,0,TRUE,"S56X-B","PEW_3",0,NA,NA,NA,NA,"STA6","RS","RS_STA6_params"
6.92366894705533,2,40,0,40,0,0,1,4,2.63128655738126,0,0,0.000375584830613446,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,1971.23666208849,1,3,FALSE,0,"2C2B",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"NFA","EMG_3",2,NA,NA,NA,NA,"NF STA","WERP","WERP_NF_params"
6.92366894705533,2,40,0,40,0,0,1,4,2.63128655738126,0,0,0.000375584830613446,0,0,0,TRUE,FALSE,0.95,2000,22,3,16.7637323608317,40,100,200,300,0,0,0,0,0,0,0,1,10,20,20,0,30,549.966921947249,0,3,FALSE,0,"2C2B",FALSE,NA,NA,NA,0,0,0,0,0,0,FALSE,"NFB","EMG_3",0,NA,NA,NA,NA,"NF STA","WERP","WERP_NF_params"
